accident_id,date,time,latitude,longitude,location_name,region,weather,road_surface,light_condition,road_type,junction_type,speed_limit,vehicle_type,number_of_vehicles,number_of_casualties,urban_rural,driver_age,driver_gender,risk_score,severity
ACC-2026-00001,2025-04-25,19:15,28.448686,77.014675,Expressway Interchange South,Northern Expressway District,Rain,Wet,Darkness: street lights present and lit,Highway,Not at junction,120,Motorcycle,1,1,Rural,38,Male,98,Fatal
ACC-2026-00002,2025-08-14,09:51,28.621664,77.19879,NH-44 Highway Mile 142,Northern Expressway District,Clear,Dry,Daylight,Highway,Not at junction,100,Car,2,1,Rural,28,Male,47,Minor
ACC-2026-00003,2026-07-04,20:05,28.493795,77.303859,Industrial Sector 18 Corridor,Northern Expressway District,Fog,Dry,Darkness: street lights present and lit,Single carriageway,Not at junction,60,Bicycle,2,2,Rural,47,Female,70,Serious
ACC-2026-00004,2026-01-09,19:13,28.634955,77.212006,Central Metro Boulevard,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights present and lit,Roundabout,Not at junction,50,Bus,2,1,Urban,28,Male,23,Minor
ACC-2026-00005,2025-02-02,01:17,28.526829,77.404287,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Fog,Dry,Darkness: street lights present and lit,Dual carriageway,T-Junction,80,Car,3,1,Urban,35,Male,77,Minor
ACC-2026-00006,2026-02-13,08:32,28.543927,77.086313,Airport Expressway Tollway,Northern Expressway District,Clear,Dry,Daylight,Highway,Roundabout,100,Car,2,1,Rural,37,Female,46,Minor
ACC-2026-00007,2025-04-28,15:48,28.636958,77.201705,Central Metro Boulevard,Capital Metropolitan Corridor,Clear,Dry,Daylight,Roundabout,Not at junction,50,Van / Light Goods,2,2,Urban,33,Female,33,Minor
ACC-2026-00008,2026-06-04,12:23,28.705281,77.110859,Grand Trunk Road Corridor B,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Not at junction,60,Bus,1,3,Rural,26,Female,45,Minor
ACC-2026-00009,2025-03-22,20:52,28.54984,77.391981,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights unlit,Dual carriageway,Not at junction,80,Van / Light Goods,2,1,Urban,38,Female,56,Minor
ACC-2026-00010,2026-02-13,05:28,28.498545,77.292437,Industrial Sector 18 Corridor,Northern Expressway District,Clear,Dry,Darkness: street lights present and lit,Single carriageway,T-Junction,60,Car,1,2,Rural,21,Male,50,Serious
ACC-2026-00011,2025-10-13,12:34,28.710801,77.113971,Grand Trunk Road Corridor B,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,T-Junction,60,Motorcycle,2,1,Rural,31,Male,37,Minor
ACC-2026-00012,2025-04-11,19:51,28.52796,77.381706,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights present and lit,Dual carriageway,Not at junction,80,Bus,3,1,Urban,23,Male,50,Minor
ACC-2026-00013,2025-08-31,20:30,28.47044,77.038673,Expressway Interchange South,Northern Expressway District,Clear,Dry,Darkness: street lights present and lit,Highway,Slip road / Merge ramp,120,Motorcycle,2,1,Rural,49,Female,81,Fatal
ACC-2026-00014,2025-10-31,17:37,28.486829,77.294408,Industrial Sector 18 Corridor,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Slip road / Merge ramp,60,Motorcycle,2,1,Rural,19,Female,43,Minor
ACC-2026-00015,2026-08-07,21:02,28.73746,77.184721,North Ring Junction 2,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights present and lit,Dual carriageway,Crossroads,80,Car,2,1,Urban,26,Male,40,Minor
ACC-2026-00016,2026-07-31,03:34,28.459677,77.015574,Expressway Interchange South,Northern Expressway District,Clear,Dry,Darkness: street lights present and lit,Highway,Not at junction,120,Car,2,1,Rural,48,Female,56,Minor
ACC-2026-00017,2026-07-22,07:56,28.697034,77.114191,Grand Trunk Road Corridor B,Northern Expressway District,Rain,Wet,Daylight,Single carriageway,Not at junction,60,Motorcycle,1,1,Rural,35,Female,69,Serious
ACC-2026-00018,2026-03-10,22:00,28.609334,77.244613,East River Bridge Crossing,Northern Expressway District,Clear,Dry,Darkness: street lights present and lit,Single carriageway,T-Junction,40,Bus,1,1,Urban,35,Female,26,Minor
ACC-2026-00019,2025-02-12,07:57,28.592502,77.232986,East River Bridge Crossing,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Slip road / Merge ramp,40,Car,2,1,Urban,45,Female,25,Minor
ACC-2026-00020,2025-12-07,01:51,28.452504,77.035221,Expressway Interchange South,Northern Expressway District,Clear,Wet,Darkness: no street lights,Highway,Not at junction,120,Car,3,1,Rural,26,Female,98,Fatal
ACC-2026-00021,2026-02-13,07:49,28.624434,77.206782,Central Metro Boulevard,Capital Metropolitan Corridor,Rain,Wet,Daylight,Roundabout,Not at junction,50,Car,1,2,Urban,66,Male,59,Serious
ACC-2026-00022,2025-12-20,00:27,28.764527,77.168469,North Ring Junction 2,Capital Metropolitan Corridor,Fog,Dry,Darkness: street lights present and lit,Dual carriageway,T-Junction,80,Motorcycle,2,2,Urban,34,Female,87,Fatal
ACC-2026-00023,2026-03-18,19:39,28.606102,77.229239,East River Bridge Crossing,Northern Expressway District,Fog,Wet,Darkness: street lights present and lit,Single carriageway,Not at junction,40,Car,2,1,Urban,31,Male,59,Serious
ACC-2026-00024,2025-11-05,07:19,28.620205,77.215073,Central Metro Boulevard,Capital Metropolitan Corridor,Rain,Wet,Daylight,Roundabout,T-Junction,50,Truck / Heavy Goods,2,1,Urban,38,Female,56,Serious
ACC-2026-00025,2025-12-10,18:43,28.620639,77.197474,Central Metro Boulevard,Capital Metropolitan Corridor,Clear,Dry,Daylight,Roundabout,T-Junction,50,Car,3,1,Urban,31,Male,34,Minor
ACC-2026-00026,2025-09-07,17:57,28.543853,77.382565,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Rain,Wet,Daylight,Dual carriageway,T-Junction,80,Car,2,3,Urban,30,Male,84,Serious
ACC-2026-00027,2026-03-30,16:57,28.497802,77.312206,Industrial Sector 18 Corridor,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Roundabout,60,Truck / Heavy Goods,2,2,Rural,47,Male,55,Serious
ACC-2026-00028,2025-03-21,12:17,28.595791,77.241705,East River Bridge Crossing,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Crossroads,40,Car,2,1,Urban,27,Male,25,Minor
ACC-2026-00029,2026-08-22,03:54,28.746411,77.165177,North Ring Junction 2,Capital Metropolitan Corridor,Clear,Dry,Darkness: no street lights,Dual carriageway,Slip road / Merge ramp,80,Motorcycle,2,2,Urban,27,Male,80,Serious
ACC-2026-00030,2025-01-30,10:46,28.714315,77.115086,Grand Trunk Road Corridor B,Northern Expressway District,Other,Dry,Daylight,Single carriageway,Slip road / Merge ramp,60,Car,2,1,Rural,45,Male,27,Minor
ACC-2026-00031,2025-12-02,19:21,28.633348,77.133536,West Urban Junction 8,Northern Expressway District,Clear,Wet,Darkness: street lights present and lit,T-Junction,Crossroads,60,Car,1,3,Urban,56,Male,60,Minor
ACC-2026-00032,2025-07-24,02:09,28.448287,77.031684,Expressway Interchange South,Northern Expressway District,Clear,Dry,Darkness: street lights present and lit,Highway,Crossroads,120,Truck / Heavy Goods,1,1,Rural,46,Male,69,Serious
ACC-2026-00033,2025-11-16,14:25,28.44678,77.032318,Expressway Interchange South,Northern Expressway District,Rain,Wet,Daylight,Highway,Crossroads,120,Car,3,1,Rural,46,Female,98,Fatal
ACC-2026-00034,2026-01-15,19:00,28.64967,77.108166,West Urban Junction 8,Northern Expressway District,Storm,Wet,Darkness: no street lights,T-Junction,Crossroads,60,Van / Light Goods,2,2,Urban,48,Male,98,Fatal
ACC-2026-00035,2026-04-22,09:20,28.469422,77.0142,Expressway Interchange South,Northern Expressway District,Fog,Dry,Daylight,Highway,T-Junction,120,Car,2,1,Rural,27,Female,71,Minor
ACC-2026-00036,2025-12-15,21:44,28.630574,77.206999,Central Metro Boulevard,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights present and lit,Roundabout,T-Junction,50,Truck / Heavy Goods,1,1,Urban,21,Male,39,Minor
ACC-2026-00037,2025-09-07,09:30,28.500928,77.297765,Industrial Sector 18 Corridor,Northern Expressway District,Rain,Wet,Daylight,Single carriageway,Crossroads,60,Car,2,1,Rural,23,Male,63,Serious
ACC-2026-00038,2026-05-11,21:48,28.502904,77.314415,Industrial Sector 18 Corridor,Northern Expressway District,Fog,Dry,Darkness: street lights present and lit,Single carriageway,Not at junction,60,Car,2,1,Rural,27,Male,65,Serious
ACC-2026-00039,2025-01-13,14:30,28.551421,77.113865,Airport Expressway Tollway,Northern Expressway District,Clear,Wet,Daylight,Highway,Not at junction,100,Motorcycle,1,1,Rural,23,Male,83,Fatal
ACC-2026-00040,2025-09-12,20:38,28.758722,77.171771,North Ring Junction 2,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights present and lit,Dual carriageway,Roundabout,80,Motorcycle,5,1,Urban,34,Male,66,Serious
ACC-2026-00041,2025-03-25,18:35,28.525196,77.388256,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Rain,Wet,Daylight,Dual carriageway,Not at junction,80,Bus,2,1,Urban,28,Male,68,Serious
ACC-2026-00042,2026-07-12,18:58,28.638699,77.193642,Central Metro Boulevard,Capital Metropolitan Corridor,Clear,Dry,Daylight,Roundabout,Crossroads,50,Car,2,1,Urban,35,Male,28,Minor
ACC-2026-00043,2026-03-25,17:56,28.647036,77.123111,West Urban Junction 8,Northern Expressway District,Clear,Dry,Daylight,T-Junction,Crossroads,60,Car,3,1,Urban,48,Female,31,Minor
ACC-2026-00044,2025-06-29,10:58,28.619345,77.20906,Central Metro Boulevard,Capital Metropolitan Corridor,Rain,Wet,Daylight,Roundabout,Not at junction,50,Motorcycle,2,1,Urban,31,Female,69,Serious
ACC-2026-00045,2026-02-15,02:02,28.543842,77.092472,Airport Expressway Tollway,Northern Expressway District,Clear,Dry,Darkness: no street lights,Highway,Roundabout,100,Motorcycle,1,2,Rural,37,Male,98,Fatal
ACC-2026-00046,2026-03-29,23:17,28.48893,77.293641,Industrial Sector 18 Corridor,Northern Expressway District,Fog,Wet,Darkness: street lights present and lit,Single carriageway,Crossroads,60,Car,2,2,Rural,27,Male,83,Serious
ACC-2026-00047,2025-05-01,12:31,28.629166,77.199703,Central Metro Boulevard,Capital Metropolitan Corridor,Fog,Unknown,Daylight,Roundabout,Not at junction,50,Bus,2,1,Urban,44,Male,34,Minor
ACC-2026-00048,2026-03-01,09:52,28.607385,77.202957,NH-44 Highway Mile 142,Northern Expressway District,Clear,Unknown,Daylight,Highway,T-Junction,100,Car,1,1,Rural,36,Male,56,Minor
ACC-2026-00049,2025-09-02,12:54,28.626309,77.127341,West Urban Junction 8,Northern Expressway District,Rain,Wet,Daylight,T-Junction,T-Junction,60,Bicycle,2,2,Urban,23,Male,74,Minor
ACC-2026-00050,2026-03-27,20:00,28.701399,77.107143,Grand Trunk Road Corridor B,Northern Expressway District,Clear,Dry,Darkness: street lights unlit,Single carriageway,Not at junction,60,Bus,2,1,Rural,47,Female,56,Minor
ACC-2026-00051,2026-05-15,22:39,28.527543,77.396532,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights present and lit,Dual carriageway,Multiple junction,80,Car,2,2,Urban,26,Male,53,Serious
ACC-2026-00052,2025-02-27,09:27,28.696426,77.099862,Grand Trunk Road Corridor B,Northern Expressway District,Rain,Wet,Daylight,Single carriageway,Not at junction,60,Motorcycle,2,1,Rural,34,Male,82,Serious
ACC-2026-00053,2026-04-16,17:57,28.568236,77.105228,Airport Expressway Tollway,Northern Expressway District,Clear,Dry,Daylight,Highway,Not at junction,100,Car,2,1,Rural,45,Male,58,Minor
ACC-2026-00054,2025-04-20,21:22,28.743876,77.185978,North Ring Junction 2,Capital Metropolitan Corridor,Clear,Wet,Darkness: street lights present and lit,Dual carriageway,Not at junction,80,Van / Light Goods,3,2,Urban,35,Female,87,Fatal
ACC-2026-00055,2025-12-27,18:39,28.634233,77.213128,Central Metro Boulevard,Capital Metropolitan Corridor,Rain,Wet,Daylight,Roundabout,Crossroads,50,Car,3,1,Urban,38,Male,58,Serious
ACC-2026-00056,2025-10-30,10:11,28.448465,77.027782,Expressway Interchange South,Northern Expressway District,Other,Dry,Daylight,Highway,Slip road / Merge ramp,120,Truck / Heavy Goods,3,1,Rural,49,Male,76,Minor
ACC-2026-00057,2026-04-25,04:48,28.470304,77.033327,Expressway Interchange South,Northern Expressway District,Other,Poor surface,Darkness: no street lights,Highway,T-Junction,120,Motorcycle,2,1,Rural,38,Male,98,Fatal
ACC-2026-00058,2026-08-22,09:06,28.458644,77.030186,Expressway Interchange South,Northern Expressway District,Storm,Wet,Daylight,Highway,Crossroads,120,Motorcycle,2,1,Rural,33,Male,92,Fatal
ACC-2026-00059,2025-02-16,05:31,28.523416,77.402618,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights present and lit,Dual carriageway,Crossroads,80,Truck / Heavy Goods,4,1,Urban,26,Male,75,Serious
ACC-2026-00060,2025-10-14,19:13,28.554541,77.091983,Airport Expressway Tollway,Northern Expressway District,Clear,Unknown,Darkness: street lights present and lit,Highway,Slip road / Merge ramp,100,Car,2,1,Rural,59,Female,58,Minor
ACC-2026-00061,2025-01-22,19:15,28.712709,77.093656,Grand Trunk Road Corridor B,Northern Expressway District,Fog,Wet,Darkness: street lights present and lit,Single carriageway,Roundabout,60,Truck / Heavy Goods,1,2,Rural,27,Male,94,Fatal
ACC-2026-00062,2026-07-08,18:07,28.602854,77.204747,NH-44 Highway Mile 142,Northern Expressway District,Rain,Wet,Daylight,Highway,Not at junction,100,Car,2,1,Rural,22,Male,89,Fatal
ACC-2026-00063,2026-06-10,14:32,28.472862,77.012901,Expressway Interchange South,Northern Expressway District,Rain,Icy,Daylight,Highway,T-Junction,120,Car,2,4,Rural,31,Male,93,Fatal
